timestamp,position,ap,rssi,distance,latency,connected
1750976437.3658621,"15.0,25.0,0.0",mesh2,9.95,0.01,5.0,YES
1750976439.3663006,"15.0,25.0,0.0",mesh2,9.95,0.01,5.0,YES
1750976441.3666513,"35.0,30.0,0.0",mesh2,9.95,0.01,5.0,YES
1750976443.3670034,"35.0,30.0,0.0",mesh2,9.95,0.01,5.0,YES
1750976445.367363,"55.0,30.0,0.0",mesh2,9.95,0.01,5.0,YES
1750976447.3676934,"75.0,30.0,0.0",mesh2,9.95,0.01,5.0,YES
1750976449.3680422,"75.0,30.0,0.0",mesh2,9.95,0.01,5.0,YES
1750976451.3684003,"35.0,30.0,0.0",mesh2,9.95,0.01,5.0,YES
1750976453.368755,"15.0,25.0,0.0",mesh2,9.95,0.01,5.0,YES
1750976455.3690858,"15.0,25.0,0.0",mesh2,9.95,0.01,5.0,YES
