timestamp,position,ap,rssi,distance,latency,connected,signal_quality
1750968010.0047328,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968011.0053911,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968012.00569,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968013.0062027,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968014.0065367,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968015.006835,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968016.0071821,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968017.0078099,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968018.0081134,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968019.0084047,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968020.0087006,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968021.0092142,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968022.0095127,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968023.0098104,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968024.0101082,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968025.010393,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968026.0110712,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968027.0113795,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968028.0119052,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
1750968029.0121958,"0,0,0",modem,9.95,0.01,5.0,YES,EXCELLENT
