timestamp,position,ap,rssi,distance,latency,connected
1750969934.549157,"0,0,0",modem,9.95,0.01,5.0,YES
1750969936.549619,"0,0,0",modem,9.95,0.01,5.0,YES
1750969938.549908,"0,0,0",modem,9.95,0.01,5.0,YES
1750969940.5501957,"0,0,0",modem,9.95,0.01,5.0,YES
1750969942.5504808,"0,0,0",modem,9.95,0.01,5.0,YES
1750969944.550761,"0,0,0",modem,9.95,0.01,5.0,YES
1750969946.5510519,"0,0,0",modem,9.95,0.01,5.0,YES
1750969948.5513299,"0,0,0",modem,9.95,0.01,5.0,YES
1750969950.551643,"0,0,0",modem,9.95,0.01,5.0,YES
1750969952.551931,"0,0,0",modem,9.95,0.01,5.0,YES
